10014,10023,76,46
10015,9649,76,44
10016,9276,76,42
10020,7783,76,34
10021,7410,76,32
10022,7036,76,30
10024,5917,76,24
10025,5543,76,22
10026,5170,76,20
10027,4797,76,18
10028,4423,76,16
10029,4050,76,14
10030,3677,76,12
10031,3304,76,10
10032,2930,76,8
10033,2557,76,6
10034,2184,76,4
10122,9836,77,45
10123,9463,77,43
10127,7597,77,33
10129,6850,77,29
10131,6104,77,25
10132,5730,77,23
10133,5357,77,21
10134,4984,77,19
10135,4610,77,17
10136,4237,77,15
10137,3864,77,13
10138,3491,77,11
10139,3117,77,9
10140,2744,77,7
10141,2371,77,5
10142,1997,77,3
10234,7784,78,34
10235,7410,78,32
10237,6664,78,28
10239,5917,78,24
10240,5544,78,22
10241,5171,78,20
10242,4797,78,18
10243,4424,78,16
10245,3677,78,12
10246,3304,78,10
10247,2931,78,8
10248,2558,78,6
10249,2184,78,4
10342,7597,79,33
10343,7224,79,31
10346,6104,79,25
10347,5731,79,23
10348,5357,79,21
10349,4984,79,19
10350,4611,79,17
10351,4238,79,15
10352,3491,79,11
10352,3864,79,13
10353,3118,79,9
10354,2745,79,7
10355,2371,79,5
10446,8904,80,40
10450,7411,80,32
10454,5918,80,24
10455,5171,80,20
10455,5544,80,22
10456,4798,80,18
10457,4425,80,16
10459,3678,80,12
10460,3305,80,10
10462,2558,80,6
10463,2185,80,4
10557,7224,81,31
10557,7598,81,33
10561,5731,81,23
10562,5358,81,21
10563,4985,81,19
10564,4611,81,17
10565,4238,81,15
10566,3865,81,13
10567,3492,81,11
10568,3118,81,9
10569,2745,81,7
10570,2372,81,5
10660,8905,82,40
10662,8158,82,36
10664,7411,82,32
10665,7038,82,30
10668,5918,82,24
10669,5545,82,22
10670,5172,82,20
10671,4798,82,18
10672,4425,82,16
10674,3679,82,12
10675,3305,82,10
10677,2559,82,6
10767,9091,83,41
10768,8718,83,39
10770,7972,83,35
10771,7598,83,33
10772,7225,83,31
10773,6852,83,29
10775,6105,83,25
10776,5732,83,23
10777,5359,83,21
10778,4985,83,19
10779,4612,83,17
10780,4239,83,15
10781,3865,83,13
10782,3492,83,11
10783,2746,83,7
10784,2372,83,5
10875,8905,84,40
10876,8532,84,38
10877,8159,84,36
10878,7785,84,34
10879,7412,84,32
10880,7039,84,30
10883,5919,84,24
10884,5546,84,22
10885,5172,84,20
10886,4426,84,16
10888,3679,84,12
10889,3306,84,10
10891,2559,84,6
10983,8719,85,39
10984,8345,85,37
10985,7972,85,35
10986,7599,85,33
10987,6852,85,29
10987,7226,85,31
10989,6106,85,25
10990,5732,85,23
10991,5359,85,21
10993,4613,85,17
10998,2746,85,7
11090,8532,86,38
11090,8906,86,40
11091,8159,86,36
11092,7786,86,34
11093,7412,86,32
11094,7039,86,30
11097,5919,86,24
11103,3680,86,12
11105,2933,86,8
11106,2560,86,6
11196,9093,87,41
11197,8719,87,39
11198,8346,87,37
11199,7973,87,35
11200,7599,87,33
11201,7226,87,31
11202,6853,87,29
11204,6106,87,25
11210,3867,87,13
11213,2747,87,7
11304,8906,88,40
11305,8533,88,38
11306,8160,88,36
11307,7786,88,34
11308,7413,88,32
11309,7040,88,30
11317,3680,88,12
11411,9093,89,41
11412,8720,89,39
11413,8347,89,37
11414,7973,89,35
11415,7600,89,33
11416,7227,89,31
11417,6853,89,29
11424,3867,89,13
11518,9280,90,42
