,pxl_row_in_fullres,pxl_col_in_fullres,spot_index,cell_index,cell_nums
165,4223.0,3341.248750388771,79,79_1,9
166,4315.342476375463,3399.0713296881954,79,79_2,9
167,4223.173134029905,3425.085226084396,79,79_3,9
168,4328.978885823449,3313.0,79,79_4,9
169,4236.938819203117,3387.580423387449,79,79_5,9
170,4231.867473357735,3336.15918270042,79,79_6,9
171,4265.052304262465,3452.0,79,79_7,9
172,4238.4412537834405,3442.546925550034,79,79_8,9
177,4417.0,2714.062887773608,87,87_0,6
178,4309.746255580556,2730.574676119358,87,87_1,6
179,4386.943438613768,2674.871187033219,87,87_2,6
180,4408.611797694999,2799.0,87,87_3,6
181,4278.0,2660.0,87,87_4,6
182,4330.981363966621,2701.925703843056,87,87_5,6
183,4303.253177803597,2969.707401219318,88,88_0,11
184,4278.0,2910.22064452973,88,88_1,11
185,4408.2839261094205,2973.7317102983498,88,88_2,11
186,4378.3717537705525,2896.506920568565,88,88_3,11
187,4409.214002426278,2870.364208182008,88,88_4,11
188,4391.565038907969,2951.7156990892327,88,88_5,11
189,4336.334236353833,2846.0,88,88_6,11
190,4403.62199486466,2932.6250506450924,88,88_7,11
191,4371.357054826176,2880.7522542455376,88,88_8,11
192,4320.494807547137,2985.0,88,88_9,11
193,4417.0,2956.0984115892616,88,88_10,11
194,4278.0,3106.2100966830603,89,89_0,10
195,4417.0,3071.4899854944224,89,89_1,10
196,4390.431721341693,3117.3964592659504,89,89_2,10
197,4349.581546796515,3107.645318297956,89,89_3,10
198,4396.378396469796,3065.412183422041,89,89_4,10
199,4302.78668307757,3033.0,89,89_5,10
200,4338.305907778224,3038.074278518156,89,89_6,10
201,4306.644550966084,3053.250306711154,89,89_7,10
202,4282.216719361661,3058.313703752812,89,89_8,10
203,4311.685932031384,3172.0,89,89_9,10
204,4320.887001994543,3352.3912927726096,90,90_0,10
205,4358.77268505751,3313.1888301787594,90,90_1,10
206,4381.268349763602,3344.4066443217666,90,90_2,10
207,4295.314894109166,3222.375388767939,90,90_3,10
208,4363.133810481261,3254.7027257492114,90,90_4,10
209,4381.619836896876,3220.0,90,90_5,10
210,4277.0,3359.0,90,90_6,10
211,4343.858523331459,3250.2116719242904,90,90_7,10
212,4416.0,3277.499559772117,90,90_8,10
213,4385.322468450378,3269.5871228666183,90,90_9,10
214,4374.148737470306,3447.2682544171603,91,91_0,9
215,4416.0,3485.515699486821,91,91_1,9
216,4300.434342000797,3500.5745223652602,91,91_2,9
217,4357.307095193571,3546.0,91,91_3,9
218,4296.3773746443885,3485.2741940927326,91,91_4,9
219,4326.965816243683,3407.0,91,91_5,9
220,4411.99399644681,3510.907616467413,91,91_6,9
221,4277.0,3485.7201313637875,91,91_7,9
222,4319.431646481436,3522.7411254736944,91,91_8,9
223,4378.233461821538,4153.0,92,92_0,7
224,4414.0,4162.156542952524,92,92_1,7
225,4349.249707292819,4158.583075621018,92,92_2,7
226,4361.377568204783,4184.467389685904,92,92_3,7
227,4275.0,4179.498022621396,92,92_4,7
228,4375.349519221047,4248.771595185523,92,92_5,7
229,4375.392392648739,4292.0,92,92_6,7
232,4273.0,4968.224977391548,96,96_0,3
233,4412.0,5039.0,96,96_1,3
234,4350.985253927599,4900.0,96,96_2,3
235,4272.0,5225.0,97,97_0,2
236,4411.0,5086.0,97,97_1,2
238,4459.099448984306,2815.6762133504267,101,101_0,12
239,4431.649410114986,2753.0,101,101_1,12
240,4454.753654000384,2846.2036799406237,101,101_2,12
241,4389.367489450638,2881.1241978549465,101,101_3,12
242,4355.812927946518,2779.0854713516765,101,101_4,12
243,4331.0,2804.431194072158,101,101_5,12
244,4456.182910836891,2861.9608901206775,101,101_6,12
245,4374.135653298433,2860.7840144111647,101,101_7,12
246,4441.246458266586,2826.4251883251013,101,101_8,12
247,4470.0,2835.8421015492586,101,101_9,12
248,4426.326355452168,2837.923834264838,101,101_10,12
249,4364.980639920423,2892.0,101,101_11,12
250,4453.789728915494,2991.2331961174486,102,102_0,9
251,4343.4906373756985,2991.346762649916,102,102_1,9
252,4331.0,2964.2064321483003,102,102_2,9
253,4405.133576348244,2950.491227502894,102,102_3,9
254,4377.197669154828,3079.0,102,102_4,9
255,4341.986455574283,2940.0,102,102_5,9
256,4470.0,3004.2314903753795,102,102_6,9
257,4440.847820852396,3078.1353301608037,102,102_7,9
258,4351.481949165355,2968.3118041104008,102,102_8,9
259,4453.789728915494,2991.2331961174486,103,103_0,9
260,4343.4906373756985,2991.346762649916,103,103_1,9
261,4331.0,2964.2064321483003,103,103_2,9
262,4405.133576348244,2950.491227502894,103,103_3,9
263,4377.197669154828,3079.0,103,103_4,9
264,4341.986455574283,2940.0,103,103_5,9
265,4470.0,3004.2314903753795,103,103_6,9
266,4440.847820852396,3078.1353301608037,103,103_7,9
267,4351.481949165355,2968.3118041104008,103,103_8,9
268,4359.703318566569,3256.6493999904164,104,104_0,12
269,4363.674721959266,3182.0445925179674,104,104_1,12
270,4334.121944193634,3128.863406910054,104,104_2,12
271,4393.079023433283,3173.229097159373,104,104_3,12
272,4331.0,3234.0563454521807,104,104_4,12
273,4366.752590554249,3154.9457948915424,104,104_5,12
274,4409.509573793325,3126.0,104,104_6,12
275,4415.72791992044,3265.0,104,104_7,12
276,4456.198329804511,3228.4795470844742,104,104_8,12
277,4470.0,3184.7563385159397,104,104_9,12
278,4439.503439385549,3178.767304440687,104,104_10,12
279,4466.713305909343,3211.942860467823,104,104_11,12
280,4359.457174444795,3257.2926778676624,105,105_0,12
281,4363.220019201228,3182.9848063049517,105,105_1,12
282,4333.682480937242,3129.8603523378324,105,105_2,12
283,4392.609157738471,3174.17871497732,105,105_3,12
284,4331.0,3234.5152457996264,105,105_4,12
285,4366.296300629553,3155.9149166322572,105,105_5,12
286,4409.031235345081,3127.0,105,105_6,12
287,4415.29931471281,3266.0,105,105_7,12
288,4456.112417082414,3229.6426052686165,105,105_8,12
289,4470.0,3185.8665620518927,105,105_9,12
290,4439.009633979589,3179.711014312383,105,105_10,12
291,4466.797092464093,3213.083865232465,105,105_11,12
292,4418.527095186032,3396.4059014090662,106,106_0,11
293,4469.0,3355.9614358876634,106,106_1,11
294,4330.0,3356.9760673396377,106,106_2,11
295,4342.308073473878,3389.3818165365383,106,106_3,11
296,4458.769321700797,3450.940430668654,106,106_4,11
297,4421.751062898078,3412.298915629908,106,106_5,11
298,4417.755917056819,3452.0,106,106_6,11
299,4462.870219343768,3337.740769172548,106,106_7,11
300,4449.367311703904,3335.911607334185,106,106_8,11
301,4448.616050258612,3439.5344866271594,106,106_9,11
302,4369.7232484644555,3313.0,106,106_10,11
303,4379.565529449412,4123.630026425235,107,107_0,4
304,4328.0,4199.0,107,107_1,4
305,4467.0,4060.0,107,107_2,4
306,4348.396134731245,4158.130115397199,107,107_3,4
307,4466.0,4759.0,110,110_0,4
308,4440.050959040604,4657.234681323451,110,110_1,4
309,4344.168363530653,4620.0,110,110_2,4
310,4327.0,4673.332509411623,110,110_3,4
311,4326.0,5017.156969039376,112,112_0,3
312,4465.0,4993.0,112,112_1,3
